event_id,city_id,city_name,county,country,latitude,longitude,elevation,timestamp,collection_status,data_richness_score,geographic_zone,climate_zone,error_message
ro_bucharest_1756985054_error,ro_bucharest,Bucharest,Bucharest,Romania,44.4268,26.1025,90,2025-09-04T11:24:14.824480+00:00,error,0.0,southern,continental_south,HTTP 400
ro_suceava_1756985054_error,ro_suceava,Suceava,Suceava,Romania,47.6635,26.2535,325,2025-09-04T11:24:14.828226+00:00,error,0.0,northern,continental_north,HTTP 400
ro_cluj_1756985072_error,ro_cluj,Cluj-Napoca,Cluj,Romania,46.7712,23.6236,411,2025-09-04T11:24:32.254537+00:00,error,0.0,central,highland,Cannot connect to host api.open-meteo.com:443 ssl:default [None]
ro_timisoara_1756985054_error,ro_timisoara,Timisoara,Timis,Romania,45.7489,21.2087,90,2025-09-04T11:24:14.786214+00:00,error,0.0,western,temperate_continental,HTTP 400
ro_constanta_1756985114_error,ro_constanta,Constanta,Constanta,Romania,44.1598,28.6348,25,2025-09-04T11:25:14.718972+00:00,error,0.0,coastal,continental_south,Cannot connect to host api.open-meteo.com:443 ssl:default [None]
ro_iasi_1756985072_error,ro_iasi,Iasi,Iasi,Romania,47.1585,27.6014,95,2025-09-04T11:24:32.254992+00:00,error,0.0,northern,continental_north,Cannot connect to host api.open-meteo.com:443 ssl:default [None]
ro_brasov_1756985054_error,ro_brasov,Brasov,Brasov,Romania,45.6427,25.5887,625,2025-09-04T11:24:14.824637+00:00,error,0.0,mountain,highland,HTTP 400
ro_galati_1756985072_error,ro_galati,Galati,Galati,Romania,45.4353,28.008,55,2025-09-04T11:24:32.254404+00:00,error,0.0,coastal,temperate_continental,Cannot connect to host api.open-meteo.com:443 ssl:default [None]
ro_craiova_1756985054_error,ro_craiova,Craiova,Dolj,Romania,44.3302,23.7949,100,2025-09-04T11:24:14.793716+00:00,error,0.0,southern,continental_south,HTTP 400
ro_ploiesti_1756985054_error,ro_ploiesti,Ploiesti,Prahova,Romania,44.9447,26.014,150,2025-09-04T11:24:14.793795+00:00,error,0.0,southern,continental_south,HTTP 400
